Year,CO,SO2,NO2,O3,PM10,PM2.5,88502,Weighted_AQI_Estimate
1967,,10.0,,,,,,0.0
1968,,4.631372549019607,,,,,,0.0
1969,,5.2125,,,,,,0.0
1970,,3.014583333333333,,,,,,0.0
1971,0.6311002142857143,5.38415248,23.762077400000003,,,,,0.6311002142857143
1972,0.8489578218527316,11.275591809796769,20.410758315018317,0.0131594592496765,,,,0.4310586405512041
1973,0.1953257346938775,5.189727538304093,26.1982814017094,0.0159225455642727,,,,0.1056241401290751
1974,2.0666969615384616,5.012833318970405,17.98373205741627,0.0191459645206298,,,,1.0429214630295458
1975,1.5082671153846154,3.96545643982154,15.704368174726987,0.0200531526370217,,,,0.7641601340108186
1976,,4.771562678618163,17.120761088262054,0.0249677455782312,,,,0.0249677455782312
1977,,5.092412248390612,16.44300061943024,0.0281626500633943,,,,0.0281626500633943
1978,2.222046213114754,6.510722700412088,16.77700392302106,0.0292244607681755,,,,1.1256353369414647
1979,1.2590492592592593,6.079430249625062,14.19680611594203,0.0237181031635264,,,,0.6413836812113928
1980,0.8330819267605634,6.71861909836928,15.349235669796558,0.0255280236000558,,,,0.4293049751803096
1981,0.9334822624434388,6.428578192273136,17.617276837016576,0.0265050294842312,,,,0.479993645963835
1982,0.6925681848920863,6.06104525883295,15.097524204134366,0.0218498188189043,,,,0.3572090018554953
1983,0.8370423819494586,5.560169364548153,20.17474675189599,0.0202319690241855,,,,0.428637175486822
1984,0.830653597260274,5.173844726631223,22.57083859561448,0.0214277230237756,,,,0.4260406601420248
1985,1.0229400592286502,6.388188065349388,19.93169587434555,0.0242234336314593,39.5735294117647,,,13.54023096820827
1986,0.8590167830985916,6.272822320794264,19.87598337968561,0.0247307105358044,34.579819277108435,,,11.821188923580943
1987,0.91169980521262,6.0909378207934335,20.846142368567453,0.0272651368274804,33.84873949579832,,,11.595901479279473
1988,1.066353057558946,5.74845866354764,19.539322133053226,0.0285402547393916,30.532763532763532,,,10.54255228168729
1989,0.8847078496453901,5.880728206969875,17.27194142141864,0.0245616141359189,28.62361111111111,,,9.844293524964138
1990,0.5749631089521166,5.919051379185301,16.750687296934867,0.0282606860660324,27.910430839002267,,,9.504551544673472
1991,0.6462628081717451,6.799617973053594,17.12217083348666,0.0248798803184973,26.19001751313485,,,8.953720067208362
1992,0.5885372881969587,6.599798785514567,9.762531384710744,0.0261975833725637,26.4502784407319,,,9.021671104100474
1993,0.4384110792767733,5.988212354352533,9.825146457528447,0.0258925882116158,25.07200587803086,,,8.51210318183975
1994,0.413051270790378,5.065405125647668,10.305833915485126,0.0249871810288752,23.979305513642892,,,8.13911465515405
1995,0.5173172444674965,4.129960009190372,10.092808512330285,0.028253292443136,23.691965855731222,,,8.079178797547284
1996,0.5030816511782277,4.438559808428446,10.452687852441327,0.0267541045909974,21.577317753920383,,,7.369051169896537
1997,0.385502392997499,3.855351772266779,9.961215526785711,0.0285382928006009,23.421176704810495,,,7.945072463536198
1998,0.3980484932652113,4.210043731933791,9.628341098901098,0.0282152064868141,24.900734537915987,,,8.442332745889338
1999,0.4890511380887059,3.8894304448350914,10.00674864002011,0.0304516815823411,24.548706230385164,15.800236616385684,13.827115466666667,13.566986536475602
2000,0.5423283050379571,2.794763512656002,9.56448553603104,0.0312277397964951,23.9455450900277,14.380009191176471,11.732840267354597,12.517916547309747
2001,0.631663594253679,2.4423677539653266,9.238810442178773,0.027376239081762,22.54477410808876,12.650254481079886,10.79709520935221,11.175559530898342
2002,0.529080998273878,2.533663931846904,8.686936803954802,0.0263651611114031,21.03434660700876,11.53280640970117,11.028051897022332,10.231943763430225
2003,0.4862195079855744,2.349636726473948,8.986662460784315,0.0272971718442267,21.67819879605263,12.373496610540126,11.98389405353104,10.880619174966332
2004,0.4622541862542955,2.584487816893926,8.409648807651992,0.0278737768013115,22.917183680529305,11.90659155236229,11.75920668495862,10.675345251012095
2005,0.3938301675824176,3.0258738154618685,9.035808364419664,0.0299170986206692,24.014108341511285,13.33125,13.093394985375694,11.77566056077144
2006,0.3439750780821918,3.1553292119366625,8.731163293813099,0.0302675755532003,23.47561059181416,12.645517077798862,12.243280934647302,11.23684727900416
2007,0.381369308988764,3.02299519257087,8.513081991788555,0.0277706207383688,26.0639838338558,11.988151189127974,11.906625293003891,11.039018208747878
2008,0.2833571747572815,2.5468628439796492,7.721856798155738,0.0266796989033843,23.19441878046103,10.85945711810569,10.926968723776223,9.952065548086154
2009,0.2216064561643835,1.9515995143951212,7.302009431829329,0.0265081809355428,21.102480508771933,9.750191508167084,10.063893269104357,8.960193570304147
2010,0.2465190650510204,2.2787381143592853,6.943438692446507,0.0285269200735648,23.007426907116603,10.914213176987973,11.233785176755148,9.968196513115702
2011,0.2320812386831275,1.768823927240905,6.862486710265924,0.0287302261335192,23.649836982233506,10.724998643710409,11.190694565647483,9.898563895302303
2012,0.2175144388224471,1.4823599040657198,6.78948538066561,0.0279426479409829,21.581754354561102,9.68375016593592,10.44192840733885,8.961346260287598
2013,0.2121939690346083,1.153604049489937,6.557380594652735,0.0258284742535553,21.769148282184656,8.649774369158168,10.092522786488631,8.255559130958
2014,0.24483482,1.2379830070043776,6.521325703081232,0.0257576314688796,21.653158543258673,8.800602796364192,10.166458783435072,8.352797056927692
2015,0.2745876288659793,1.1222997041671885,5.793217283682634,0.0255578142361695,22.83895586505867,8.981098869914852,9.7800456952338,8.600679339756478
2016,0.2235109027586206,0.9826696401898082,6.080092734404184,0.0265419465097619,20.585493345583497,8.748729838940786,8.676690739932885,8.207665506743739
2017,0.2371700371929824,0.8768433645192907,5.702895843386243,0.0259488906331935,19.42047855013021,8.533715607547299,8.504556326538989,7.941960673078748
2018,0.1722058363780778,0.7447600206643793,5.390784906312827,0.0256341157520623,21.407671209073904,8.438864377864633,7.903437503818509,8.067756180625649
2019,0.162880902739726,0.6699999596346033,5.201491701911346,0.0259608478367667,17.13948611761882,8.410858426829625,8.308725456831734,7.620433685600269
2020,0.1614194639889196,0.6395788031164783,4.214094933717579,0.0247797677567037,18.15653235868545,8.489839856547874,7.917911216695255,7.7771610586266195
2021,0.1803918679114799,0.4684411690486347,4.462656874595469,0.0252554637146772,16.996425257195913,8.315250367216924,8.594241330054645,7.5408825159340545
